
jun 11, 2018 13:59:15.99 NEW SESSION
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135915.976:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.05 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.08 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.08 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.023:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.10 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.11 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.13 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.13 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.13 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.13 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.13 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.16 [7212:14860:0611/135916.039:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.17 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.19 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.054:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.21 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.22 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.22 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.22 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.22 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.22 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.22 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.070:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.24 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.25 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.164:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.27 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.28 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.30 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.30 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.32 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.32 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.32 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.32 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.32 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.33 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
jun 11, 2018 13:59:16.33 [7212:14860:0611/135916.179:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
